model,scope,create,edit_reload,reopen,delete,deleted_reload
ExportTemplate,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
ProcedureTemplate,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
ActivityCode,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
CostRecord,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
WellPlan,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
OperationalProcedure,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
PlannedActivity,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
ApprovalAction,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
BHAReport,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
BitReport,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
BulkMaterials,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
CasingReport,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
CementReport,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
DownholeEquipment,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
DrillingParameters,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
EquipmentLog,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
FormationReport,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
FuelWaterInventory,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
LogisticsPersonnel,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
MaterialRequest,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
MudReport,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
NPTReport,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
PJSMRecord,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
ProcedureApproval,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
ProcedureChecklist,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
ProcedureStep,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
ReportRevision,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
ROPAnalysis,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
SafetyReport,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
ServiceCompany,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
ServiceCompanyPOB,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
ServiceNote,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
SevenDaysLookahead,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
TimeDepthData,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
TimeLog24H,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
TimeLogMorning,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
TrajectoryCalculation,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
TransportLog,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
TransportNotes,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
TripSheetEntry,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
WellboreSchematic,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
BOPComponent,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
SafetyIncident,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
SurveyPoint,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
TrajectoryPlot,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
WasteRecord,synthetic schema CRUD; not engineering input acceptance,True,True,True,True,True
