number,classification,field,source_sheet,source_cell,original_value,raw_workbook_cell,normalized_value,reason,action
1,EXPECTED_SOURCE_ABSENCE,well_info.water_depth,DDR Remark,AQ6,"""-""","""-""",null,Template preferred cell AQ6,Retain missing source; supply a measured value only if operationally required.
2,VALID_USER_REVIEW,well_info.latitude,DDR Remark,AI9,"""3,441,012 N""","""3,441,012 N""",null,Template preferred cell AI9,"Projected coordinate text, not decimal degrees. Obtain CRS/zone and confirm transformation before filling latitude/longitude."
3,VALID_USER_REVIEW,well_info.longitude,DDR Remark,AI10,"""192,581 E""","""192,581 E""",null,Template preferred cell AI10,"Projected coordinate text, not decimal degrees. Obtain CRS/zone and confirm transformation before filling latitude/longitude."
4,EXPECTED_SOURCE_ABSENCE,well_info.kop1,DDR Remark,AI13,"""-""","""-""",null,Template preferred cell AI13,Retain missing source; supply a measured value only if operationally required.
5,EXPECTED_SOURCE_ABSENCE,well_info.kop2,DDR Remark,AI14,"""-""","""-""",null,Template preferred cell AI14,Retain missing source; supply a measured value only if operationally required.
6,EXPECTED_SOURCE_ABSENCE,daily_report.note_03,DDR Remark,A83,null,"""Note#03 : """,null,Template anchor A83 has no value,Retain missing source; supply a measured value only if operationally required.
7,EXPECTED_SOURCE_ABSENCE,daily_report.note_04,DDR Remark,A84,null,"""Note#04 : """,null,Template anchor A84 has no value,Retain missing source; supply a measured value only if operationally required.
8,EXPECTED_SOURCE_ABSENCE,daily_report.note_05,DDR Remark,A85,null,"""Note#05 : """,null,Template anchor A85 has no value,Retain missing source; supply a measured value only if operationally required.
9,EXPECTED_SOURCE_ABSENCE,daily_report.note_06,DDR Remark,A86,null,"""Note#06 : """,null,Template anchor A86 has no value,Retain missing source; supply a measured value only if operationally required.
10,EXPECTED_SOURCE_ABSENCE,daily_report.note_07,DDR Remark,A87,null,"""Note#07 : """,null,Template anchor A87 has no value,Retain missing source; supply a measured value only if operationally required.
11,EXPECTED_SOURCE_ABSENCE,daily_report.received_items,DDR Remark,A95,null,"""Received""",null,Template anchor A95 has no value,Retain missing source; supply a measured value only if operationally required.
12,EXPECTED_SOURCE_ABSENCE,drilling_params.bit_serial,DDR Data,E14,null,null,null,Field 'Bit Serial No' not found by any strategy,Retain missing source; supply a measured value only if operationally required.
13,EXPECTED_SOURCE_ABSENCE,drilling_params.bit_dull_condition,DDR Data,E32,null,null,null,Template anchor E32 has no value,Retain missing source; supply a measured value only if operationally required.
14,EXPECTED_SOURCE_ABSENCE,mud_report.fl,DDR Data,L16,"""N.C""","""N.C""",null,Template preferred cell L16,Retain missing source; supply a measured value only if operationally required.
15,EXPECTED_SOURCE_ABSENCE,mud_report.cake_thickness,DDR Data,L18,null,null,null,Template anchor L18 has no value,Retain missing source; supply a measured value only if operationally required.
16,VALID_USER_REVIEW,mud_report.oil_percent,DDR Data,L21,"""5""","""5""",null,Single source value under combined Oil / Water label; component assignment requires review,Resolve which component the combined Oil/Water value describes; do not infer complementary percentages.
17,EXPECTED_SOURCE_ABSENCE,mud_report.kcl,DDR Data,L22,null,null,null,Template anchor L22 has no value,Retain missing source; supply a measured value only if operationally required.
18,EXPECTED_SOURCE_ABSENCE,mud_report.flowline_temp,DDR Data,L24,null,null,null,Template anchor L24 has no value,Retain missing source; supply a measured value only if operationally required.
19,EXPECTED_SOURCE_ABSENCE,mud_report.pf_mf,DDR Data,L25,null,null,null,Template anchor L25 has no value,Retain missing source; supply a measured value only if operationally required.
20,EXPECTED_SOURCE_ABSENCE,mud_report.mbt,DDR Data,L27,null,null,null,Template anchor L27 has no value,Retain missing source; supply a measured value only if operationally required.
21,EXPECTED_SOURCE_ABSENCE,daily_report.mud_lost_downhole,DDR Data,L36,null,null,null,Template anchor L36 has no value,Retain missing source; supply a measured value only if operationally required.
