section,golden_a_source_and_persistence,mapping_evidence,golden_a_service_status,golden_a_reload,golden_a_ui_charts,golden_b_all_stages
Well / section,37 canonical well keys; source AZNS-207,Source identity and selected-project resolution tested,PARTIAL,PASS snapshot for covered models; well/section not independently snapshotted,NOT VERIFIED,NOT VERIFIED — workbook unavailable
Daily report,1 report; date 2024-10-22; report 8,Header mapping and reload; unresolved source fields remain,PARTIAL,PASS snapshot for covered models; well/section not independently snapshotted,NOT VERIFIED,NOT VERIFIED — workbook unavailable
24-hour operations,10 canonical rows; 7 saved; 3 review,Formula-only rows excluded; invalid ranges retained for review,PARTIAL,PASS snapshot for covered models; well/section not independently snapshotted,NOT VERIFIED,NOT VERIFIED — workbook unavailable
Morning operations,8 canonical rows; 6 saved; 2 review,Narrative continuation kept separately,PARTIAL,PASS snapshot for covered models; well/section not independently snapshotted,NOT VERIFIED,NOT VERIFIED — workbook unavailable
NPT,0 source NPT events / 0 persisted,"Synthetic activation, attribution, replay and cleanup passed",NOT EXERCISED ON A,PASS snapshot for covered models; well/section not independently snapshotted,NOT VERIFIED,NOT VERIFIED — workbook unavailable
Mud properties,1 report; solids 7; oil/water NULL; KCL NULL,Source density 71 PCF preserved; partial composition; unknown tokens review,PARTIAL,PASS snapshot for covered models; well/section not independently snapshotted,NOT VERIFIED,NOT VERIFIED — workbook unavailable
Mud chemicals,34 JSON records; 10 classified; 24 unresolved,Names/stock preserved; existing 6-category taxonomy only,PARTIAL,PASS snapshot for covered models; well/section not independently snapshotted,NOT VERIFIED,NOT VERIFIED — workbook unavailable
Drilling parameters / SCR,1 drilling record; 5 parameter rows; 2 SCR rows,Source payload/provenance preserved; not every engineering result verified,PARTIAL,PASS snapshot for covered models; well/section not independently snapshotted,NOT VERIFIED,NOT VERIFIED — workbook unavailable
BHA,1 BHA report / 9 named components,"Exact names, tool types and cumulative length projection verified",SERVICE PASS,PASS snapshot for covered models; well/section not independently snapshotted,NOT VERIFIED,NOT VERIFIED — workbook unavailable
Downhole equipment,1 report / 3 named records,Named mapping; no positional metadata spill,SERVICE PASS,PASS snapshot for covered models; well/section not independently snapshotted,NOT VERIFIED,NOT VERIFIED — workbook unavailable
Survey,3 stations; MD 50/108/146; azimuth NULL,Source retained; 0 calculated; no fabricated trajectory,PARTIAL,PASS snapshot for covered models; well/section not independently snapshotted,NOT VERIFIED,NOT VERIFIED — workbook unavailable
Formation,1 Aghajari record,Name/lithology retained; absent depths remain NULL,SERVICE PASS,PASS snapshot for covered models; well/section not independently snapshotted,NOT VERIFIED,NOT VERIFIED — workbook unavailable
Logistics / POB,6 records; total 130,Nullable dates and total verified; UI save unexecuted,SERVICE PASS,PASS snapshot for covered models; well/section not independently snapshotted,NOT VERIFIED,NOT VERIFIED — workbook unavailable
Fuel / water,1 inventory; 0 mud chemicals in bulk,Routing corrected; missing fuel type/quantities remain NULL,PARTIAL,PASS snapshot for covered models; well/section not independently snapshotted,NOT VERIFIED,NOT VERIFIED — workbook unavailable
Safety,1 report; 468 days without LTI,"Unsupported date in audit; missing measurements remain NULL",PARTIAL,PASS snapshot for covered models; well/section not independently snapshotted,NOT VERIFIED,NOT VERIFIED — workbook unavailable
BOP,5 saved components,One ambiguous source row retained in review; getters are collections,PARTIAL,PASS snapshot for covered models; well/section not independently snapshotted,NOT VERIFIED,NOT VERIFIED — workbook unavailable
Waste,0 records,No fabricated waste row; empty and manual-sync contracts tested synthetically,NOT EXERCISED ON A,PASS snapshot for covered models; well/section not independently snapshotted,NOT VERIFIED,NOT VERIFIED — workbook unavailable
Services,6 companies,Source identities persisted; complete service UI lifecycle unexecuted,SERVICE PASS,PASS snapshot for covered models; well/section not independently snapshotted,NOT VERIFIED,NOT VERIFIED — workbook unavailable
Solid control / equipment,9 equipment log rows,Persisted/reloaded; detailed engineering equivalence not certified,PARTIAL,PASS snapshot for covered models; well/section not independently snapshotted,NOT VERIFIED,NOT VERIFIED — workbook unavailable
Lookahead / planning,11 saved rows from 13 canonical,Planned and actual dates separated; full planning lifecycle not certified,PARTIAL,PASS snapshot for covered models; well/section not independently snapshotted,NOT VERIFIED,NOT VERIFIED — workbook unavailable
Casing,1 report,Persisted/reloaded; manual editor not executed,PARTIAL,PASS snapshot for covered models; well/section not independently snapshotted,NOT VERIFIED,NOT VERIFIED — workbook unavailable
Cement,1 report / 9 additives,Persisted/reloaded; manual editor not executed,PARTIAL,PASS snapshot for covered models; well/section not independently snapshotted,NOT VERIFIED,NOT VERIFIED — workbook unavailable
Material requests,1 source narrative,Narrative retained; absent quantity/unit remain NULL,PARTIAL,PASS snapshot for covered models; well/section not independently snapshotted,NOT VERIFIED,NOT VERIFIED — workbook unavailable
Time-depth / engineering,1 derived time-depth point,Engine regression and generated-row cleanup passed; UI not rendered,PARTIAL,PASS snapshot for covered models; well/section not independently snapshotted,NOT VERIFIED,NOT VERIFIED — workbook unavailable
