review_id,classification,file,source_location,canonical_field,original_value,prior_normalized_value,domain_destination,current_domain_value,reason,source_sufficient,deterministic_auto_resolution,genuine_user_need,current_disposition
1,EXPECTED_MISSING_SOURCE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Remark"", ""row"": 6, ""column"": 43, ""cell"": ""AQ6""}",well_info.water_depth,"""-""",null,Well.water_depth,null,"Dash in anchored water-depth cell denotes unavailable source, not adjacent casing depth.",No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Only if operationally required; optional absence may be acknowledged,RETAINED
2,UNSUPPORTED_SOURCE_FEATURE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Remark"", ""row"": 9, ""column"": 35, ""cell"": ""AI9""}",well_info.latitude,"""3,441,012 N""",null,Well.latitude,null,"Coordinate magnitude and N suffix resemble projected northing, not geographic latitude; CRS/zone/datum are absent.",No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Supported CRS/product taxonomy or documented vendor specification is required; no arbitrary choice among current options,RETAINED
3,UNSUPPORTED_SOURCE_FEATURE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Remark"", ""row"": 10, ""column"": 35, ""cell"": ""AI10""}",well_info.longitude,"""192,581 E""",null,Well.longitude,null,"Coordinate magnitude and E suffix resemble projected easting, not geographic longitude; CRS/zone/datum are absent.",No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Supported CRS/product taxonomy or documented vendor specification is required; no arbitrary choice among current options,RETAINED
4,EXPECTED_MISSING_SOURCE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Remark"", ""row"": 13, ""column"": 35, ""cell"": ""AI13""}",well_info.kop1,"""-""",null,Well.kop1,null,Anchored source field is blank or a missing-value marker; no supported source value can be reconstructed.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Only if operationally required; optional absence may be acknowledged,RETAINED
5,EXPECTED_MISSING_SOURCE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Remark"", ""row"": 14, ""column"": 35, ""cell"": ""AI14""}",well_info.kop2,"""-""",null,Well.kop2,null,Anchored source field is blank or a missing-value marker; no supported source value can be reconstructed.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Only if operationally required; optional absence may be acknowledged,RETAINED
6,EXPECTED_MISSING_SOURCE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Remark"", ""row"": 83, ""column"": 1, ""cell"": ""A83""}",daily_report.note_03,null,null,AuditLog.details.source.daily_report.note_03 (no dedicated scalar model field),null,Anchored source field is blank or a missing-value marker; no supported source value can be reconstructed.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Only if operationally required; optional absence may be acknowledged,RETAINED
7,EXPECTED_MISSING_SOURCE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Remark"", ""row"": 84, ""column"": 1, ""cell"": ""A84""}",daily_report.note_04,null,null,AuditLog.details.source.daily_report.note_04 (no dedicated scalar model field),null,Anchored source field is blank or a missing-value marker; no supported source value can be reconstructed.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Only if operationally required; optional absence may be acknowledged,RETAINED
8,EXPECTED_MISSING_SOURCE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Remark"", ""row"": 85, ""column"": 1, ""cell"": ""A85""}",daily_report.note_05,null,null,AuditLog.details.source.daily_report.note_05 (no dedicated scalar model field),null,Anchored source field is blank or a missing-value marker; no supported source value can be reconstructed.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Only if operationally required; optional absence may be acknowledged,RETAINED
9,EXPECTED_MISSING_SOURCE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Remark"", ""row"": 86, ""column"": 1, ""cell"": ""A86""}",daily_report.note_06,null,null,AuditLog.details.source.daily_report.note_06 (no dedicated scalar model field),null,Anchored source field is blank or a missing-value marker; no supported source value can be reconstructed.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Only if operationally required; optional absence may be acknowledged,RETAINED
10,EXPECTED_MISSING_SOURCE,08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx,"{""file"": ""08-DDR OEOC-208 AZNS-207 2024-Oct-22.xlsx"", ""sheet"": ""DDR Remark"", ""row"": 87, ""column"": 1, ""cell"": ""A87""}",daily_report.note_07,null,null,AuditLog.details.source.daily_report.note_07 (no dedicated scalar model field),null,Anchored source field is blank or a missing-value marker; no supported source value can be reconstructed.,No: value/required disambiguation absent,"No: do not invent source measurements, roles or identities",Only if operationally required; optional absence may be acknowledged,RETAINED
