section,implementation,Import,Add,Edit,Delete,Save,Reload,Tested,remaining_limit
Daily report / 24h / morning,tabs/w2_Daily_Report.py; core/ddr_import_service.py,A: 1/7/6 rows,Existing row editor,Existing IDs/catalogue paths,Existing report/time-log replacement,Existing report service; root coordinator now reports failures,A close/reopen verified,Existing forensic/time-log regressions + A import/replay,Full native Add/Edit/Delete sequence NOT VERIFIED; unrelated legacy repository separator handling not recertified
Drilling parameters,tabs/w3_drilling_report.py,A: 1,Existing parameter form,A bit_no edit verified at service layer,"Scalar form clear, not row deletion",save_drilling_parameters; W3 Save All,A edited close/reopen verified,Follow-up A harness + previous domain tests,Native numeric dirty-state and all placeholder fields NOT VERIFIED
Mud properties / composition,tabs/w3_drilling_report.py; core/mud_records.py,A: 71 PCF; solids 7; ambiguous phases NULL,Nullable form initialization,Source/display/touched restoration; A summary edit,Clear form preserves missingness,save_mud_report; validation outcomes propagate,A NULL/unit/chemical retention verified,"46 follow-up tests include units, placeholders, partial composition",Typing/clearing every native field NOT VERIFIED; no fabricated 100% balance
Mud chemicals,tabs/w3_drilling_report.py; core/domain_records.py,A: 34; 10 mapped; 24 retained unknown,Blank name/unit/quantities; no Chemical_n or stock defaults,Widget-owned provenance; explicit stock input; A received edit,Row owner survives delete/reorder; list save replaces JSON,Shared six-role catalogue + save_mud_report,A stock/provenance/missingness verified,Chemical ledger/identity/source tests; A edit replay,Native row operations NOT VERIFIED; 19 unsupported roles + 5 ambiguous products remain
BHA,tabs/w4_Downhole_Widget.py; core/repositories/report_repository.py,A: 9 components,Named-row manager,Remarks edit A; length recalculation fixture,Explicit [] clear persisted,BHARepository delegates save_bha_report,A source cumulative anchors retained,Named schemas/provenance/repository/length tests,Native full 11-column edit path NOT VERIFIED; partial-anchor engineering scenarios limited
Downhole equipment,tabs/w4_Downhole_Widget.py,A: 3 JSON records,Named-row manager,A remarks edit,Explicit [] accepted,save_downhole_equipment + shared named adapter,A edited reopen verified,Domain schema/metadata tests + A harness,Native edit and date widgets NOT VERIFIED
Formation,tabs/w4_Downhole_Widget.py,A: 1 JSON record,No invented TVD from MD,A description edit,Explicit [] accepted,save_formation_report + named adapter,A edited reopen verified,Semantic mapping/provenance tests,Native full-form and formation-dependent calculations NOT VERIFIED
Survey,tabs/w6_Trajectory_Widget.py; core/survey_records.py,"A: 3 stations, absent azimuth",Blank measured fields,Stable ID; collision/context checks,Report snapshot deletion; invalid batch inhibits deletion,save_survey_records; shared repository path,IDs/metadata/source NULLs retained,Real A + complete/invalid/delete/context engineering regressions,MD swap/collision rejected explicitly; native editing/calculation clicks NOT VERIFIED
Trip sheet,tabs/w6_Trajectory_Widget.py,No separate A trip-sheet rows verified,Existing form,Existing form,Existing local row operation,Existing callback; W6 structured aggregation,Existing loader inspected,Inspection + existing tests only,Full service CRUD/desktop sequence NOT VERIFIED
Trajectory 2D/3D,tabs/w6_Trajectory_Widget.py; core/trajectory_plot.py,Uses persisted survey stations,N/A presentation,Regenerated from measurements,Clears/replots current input,Plot inputs only; not a survey source,load_for_report is an existing valid API,Shared 3D Agg draw tested; 2D series data tested; real A insufficient-data image,Native pyqtgraph/Qt Matplotlib windows NOT VERIFIED
Rig equipment / inventory / drill pipe / solid control,tabs/w5_Equipment_Widget.py,A: 9 equipment logs (solid control),Existing table Add,Single-tab Save no longer cache-only; report/type snapshots,Explicit snapshot removal and last-row clear,save_equipment_records delegates save_equipment_log in owned transaction,Repeated save no duplicate; actual A 9 retained,Atomic invalid-row/delete/clear/identity tests + A snapshot,Native row mapping and all unshown equipment attributes NOT VERIFIED; vendor reference separate
POB,tabs/w7_logistics_Widget.py,"A: 6 companies, total 130",Blank dates; no invented today,Date/count validation; A remarks edit,"Existing UI remove path, not newly certified",save_service_company_pob; partial outcomes retained,A dates/counts and remark-only patch verified,Valid/blank/invalid date + partial-update + negative-count tests,Full native delete/partial batch interaction NOT VERIFIED
Crew / transport notes / transport logs,tabs/w7_logistics_Widget.py,No separate A operational CRUD sequence,Existing dialogs/forms,Existing dialogs/forms,Existing notes/delete handlers,Existing DB callbacks under W7 coordinator,Existing loaders inspected,Inspection + pre-existing regression suite,Complete native and per-record persistence lifecycle NOT VERIFIED
Fuel/water,tabs/w7_logistics_Widget.py,A: 1,Existing form,Source values resaved in A harness,No full clear test,save_fuel_water_inventory,A close/reopen verified,A service roundtrip + prior tests,Manual null/edit behavior across every scalar NOT VERIFIED
Bulk inventory,tabs/w7_logistics_Widget.py; core/mud_ledger.py,A: 0 bulk rows; mud chemicals routed separately,Existing row form,Existing row form,Existing local remove,Existing bulk save callback,Collection-empty behavior covered,Routing and previous inventory tests,Older ledger carry-forward/default behavior and full manual CRUD NOT recertified
Safety header,tabs/w8_Safety_Widget.py,A: 1,Existing report form,A observation edit,Child collections handled separately,save_safety_report; aggregate outcomes,Authoritative get_safety_report view,A + focused safety tests,Native controls NOT VERIFIED; weather has no dedicated numeric SafetyReport fields
BOP,tabs/w8_Safety_Widget.py,A: 5 valid; spool review retained,Named collection,Rejected collection cannot erase previous typed/cache values,Explicit [] clears selected report,Atomic typed child synchronization,A 5 rows after edit/reopen,First/empty/repeated/invalid/scoped collection tests,Native Add/Edit/Delete clicks NOT VERIFIED; missing spool type not guessed
Waste,tabs/w8_Safety_Widget.py,A: 0 (genuine empty),Named collection; explicit date needed,Reject invalid date/shape without losing stored collection,Explicit [] clears,Atomic typed child synchronization,A [] after edit/reopen; populated fixture reload,First/empty/populated/rejected/repeated clear tests,Native waste widgets NOT VERIFIED; source has no populated Golden A waste history
Service companies,core/database.py; existing service-company handlers,A: 6,Existing service paths,A description edit through stable ID,"Existing DB path, no new A delete",save_service_company,A edited reopen verified,A service edit + existing integration suite,Native company identity/CRUD dialog sequence NOT VERIFIED
Services notes / material requests,tabs/w9_Services_Widget.py,A: 1 material request,Dialogs persist immediately,Existing immediate-save dialogs,Existing immediate-delete handlers,"Save All reports zero pending, not invented batch writes",Existing DB loaders,A import/request missingness + prior tests,No complete native dialog acceptance
Lookahead planning,tabs/w10_Planning_Widget.py,A: 11 valid; 2 missing-activity reviews,"Explicit typed dates, no date generation on Save","All 11 rows loaded; stable IDs, source dates/actuals retained",Snapshot deletion/[] clear; invalid rows inhibit delete,save_lookahead_records; shared model/helper; structured outcome,A edited reopen verified,11-row/invalid-date/clear tests + A remarks edit,Native calendar/edit controls NOT VERIFIED; suggested-plan button is not imported source
NPT,tabs/w2_Daily_Report.py; tabs/w10_Planning_Widget.py; core/domain_records.py,A: 0 NPT; source not invented,Existing NPT forms,Independent checkbox/status/company; shared catalogue resolution,Existing path,Existing NPT/time-log services,Prior domain status/company tests pass,Forensic NPT/catalogue tests; actual A zero verified,"Native checkbox signal ordering, dedicated W10 NPT CRUD and all dialogs NOT VERIFIED"
Casing / cement / tally / section data,tabs/w3c_section_data.py,"A: 1 casing, 1 cement with 9 additives",Existing editors,Existing editors,Existing managers,Existing section/report services,A unchanged import/replay verified,Existing casing/cement tests; not a new manual cycle,"Native null defaults, every Save variant and tally lifecycle NOT VERIFIED"
Schematic / engineering calculator,tabs/w3b_wellbore_schematic_tab.py; tabs/w13_Engineering_Calculator.py,A geometry uses source rows,Existing operational forms,Existing engineering engines retained,Existing paths,No replacement engine; optional reference failure actionable,Existing refresh paths inspected,Engineering tests + source data boundary only,Native schematic/calculator and packaged DrillPipe lookup NOT VERIFIED
Export / analysis,tabs/w11_Export.py; tabs/w12_Analysis.py,Consumes imported DB data,N/A output/analysis,Preferences/analysis operations,N/A source record deletion,Existing export paths unchanged,Existing DB/export readers,Existing headless regression tests,Actual desktop PDF/Excel export and graph widgets NOT VERIFIED
Procedures / reference tables / cost management,tabs/w14_Procedure_Widget.py; tabs/w15_Reference_Tables.py; tabs/w16_Cost_Management.py,Not supplied by A import,Existing module-specific editors,Existing handlers,Existing handlers,Existing services; root coordinator only,Existing loaders,Existing test suite / hook inventory; no new operational cycle,NOT recertified; cost Qt test and Windows package test skipped
